date;Moscow;Kaliningrad;Petersburg;Krasnodar;Ekaterinburg
2013-01-01;79.72;42.67;62.55;48.26;71.25
2013-02-01;81.08;44.37;62.73;51.01;71.35
2013-03-01;79.68;44.73;63.43;50.91;70.90
2013-04-01;79.80;46.75;63.83;53.94;71.92
2013-05-01;80.63;49.93;66.06;61.27;72.91
2013-06-01;80.80;51.59;69.22;65.44;74.39
2013-07-01;80.28;57.80;72.07;56.51;73.10
2013-08-01;78.99;62.14;69.31;53;70.24
2013-09-01;76.77;56.76;65.18;43.87;69.12
2013-10-01;76.09;50.85;62.13;42.12;68.98
2013-11-01;76.36;46.43;64.17;43.98;68.58
2013-12-01;77.16;46.73;65.50;44.66;69.50
2014-01-01;77.50;45.85;66.85;47.73;70.14
2014-02-01;79.03;49.25;68.38;52.31;70.58
2014-03-01;80.28;48.14;68.77;56.80;70.78
2014-04-01;80.05;49.18;69.32;51.15;72.78
2014-05-01;78.11;49.49;69.77;54.63;72.84
2014-06-01;76.90;49.83;70.17;55.80;74.74
2014-07-01;77.68;49.14;70.76;57.31;76.43
2014-08-01;76.05;63.21;75.16;53.81;81.20
2014-09-01;75.53;61.20;74.86;55.50;82.04
2014-10-01;73.39;60.34;71.47;52.95;79.67
2014-11-01;78.36;62.20;76.08;53.29;81.25
2014-12-01;89.16;74.20;82.11;54.86;85.88
2015-01-01;105.43;75.32;94.63;71.72;91.35
2015-02-01;104.82;75.92;98.54;74.36;101.32
2015-03-01;101.15;72.89;97.84;78.25;102.45
2015-04-01;98.63;74.85;94.54;70.63;98.18
2015-05-01;99.96;92.19;97.88;77.06;105.10
2015-06-01;97.29;99.70;97.73;81.52;104.85
2015-07-01;98.64;102.78;100.89;84.12;111.48
2015-08-01;104.26;92.67;104.88;83.33;118.51
2015-09-01;102.63;90.63;104.39;66.98;118.92
2015-10-01;98.64;83.31;101.90;62.04;109.87
2015-11-01;97.17;75.50;98.99;59.79;105.22
2015-12-01;98.09;74.60;99.42;66.06;105.45
2016-01-01;103.07;76.94;106.37;71.99;115.61
2016-02-01;110.26;83.04;113.89;76.79;116.61
2016-03-01;110.84;80.74;114.78;80.98;120.39
2016-04-01;112.28;80.29;115.60;89.18;119.20
2016-05-01;111.10;82.82;115.89;92.71;119.92
2016-06-01;110.06;86.29;117.66;94.85;120.57
2016-07-01;113.70;87.41;118.27;99.18;123.37
2016-08-01;112.88;85.10;114.19;86.33;121.39
2016-09-01;102.08;78.08;101.81;71.94;118.16
2016-10-01;95.54;76.06;91.62;67.18;108.84
2016-11-01;91.33;69.23;90.15;62.98;100.78
2016-12-01;89.99;69.04;90.55;69.45;99.92
2017-01-01;91.44;64.48;92.30;67.56;100.65
2017-02-01;93.51;65.73;91.75;67.92;98.92
2017-03-01;93.60;67.20;92;68.40;100.31
2017-04-01;93.78;70.25;92.57;67.97;96.41
2017-05-01;98.91;82.59;100.28;76.33;101.24
2017-06-01;121.76;92.12;114.33;95.79;118.70
2017-07-01;129.60;100.82;122.17;112.36;133.29
2017-08-01;127.90;95.23;117.83;82.03;130.31
2017-09-01;114.55;89.51;112.49;73.83;122.40
2017-10-01;101.88;82.84;93.70;66.12;104.98
2017-11-01;99.09;82.30;97.17;63.24;107.54
2017-12-01;103.35;83.76;95.64;63.98;110.74
2018-01-01;106.58;84.72;102.21;69.10;110.51
2018-02-01;108;83.91;107.58;70.04;111.46
2018-03-01;114.95;99.14;110.48;80.03;113.42
2018-04-01;121.17;101.60;117.73;87.92;118.15
2018-05-01;122.48;113.03;122.07;97.07;114
2018-06-01;127.58;119.54;128.58;106.52;124.91
2018-07-01;131.89;118.09;131.12;108.93;126.06
2018-08-01;129.36;107.32;127.08;95.17;123.30
2018-09-01;104.26;82.60;110.99;74.31;111.61
2018-10-01;93.45;77.40;97.43;62.63;98.82
2018-11-01;92.93;71.77;92.05;69.92;97.47
2018-12-01;96.15;71.25;93.21;70.58;103.01
2019-01-01;99.10;71.35;98.58;74.63;109.36
2019-02-01;103;73.62;100.23;78.69;104.79
2019-03-01;103.31;76.20;102.09;81.82;105.09
2019-04-01;103.01;74.15;101.73;82.36;103.16
2019-05-01;107.37;75.67;107.28;89.44;106.52
2019-06-01;116.91;79.20;115.35;102.01;121.68
2019-07-01;125.29;80.85;123.03;116.12;125.32
2019-08-01;123.94;85.33;123.08;92.06;123.41
2019-09-01;113.03;75.02;109.71;82.70;108.48
2019-10-01;102.19;77.95;97.22;66.62;98.73
2019-11-01;97.83;78.98;95.75;68.11;96.25
2019-12-01;101.07;76.55;97.09;73.48;100.12
2020-01-01;103.44;74.89;98.18;82.04;101.29
2020-02-01;108.23;70;103.10;81.19;102.81
2020-03-01;110.28;81.53;110.60;95.05;108.53